State,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Alabama,5682.84,5840.55,5753.50,6008.17,6475.09,7188.95,8071.13,8451.90,9098.07,9358.93,9496.08,9751.10
Alaska,4328.28,4632.62,4918.50,5069.82,5075.48,5454.61,5759.15,5762.42,6026.14,6012.44,6148.81,6571.34
Arizona,5138.50,5415.52,5481.42,5681.64,6058.46,7263.20,8839.60,9966.72,10133.50,10296.20,10413.84,10646.28
Arkansas,5772.30,6082.38,6231.98,6414.90,6416.50,6627.09,6900.91,7028.99,7286.58,7408.50,7606.41,7867.30
California,5285.92,5527.88,5334.83,5672.47,5897.89,7258.77,8193.74,9436.43,9360.57,9274.19,9186.82,9269.84
Colorado,4703.78,5406.97,5596.35,6227.00,6284.14,6948.47,7748.20,8315.63,8792.86,9292.95,9298.60,9748.19
Connecticut,7983.69,8249.07,8367.55,8677.70,8720.98,9371.02,9827.01,9736.43,10036.63,10453.11,10664.00,11397.34
Delaware,8352.89,8610.60,8681.85,8945.80,8995.47,9987.18,10534.18,11026.24,11362.69,11502.52,11514.66,11676.22
Florida,3848.20,3924.23,3887.66,3879.42,4150.00,4783.03,5510.66,5940.94,6494.90,6451.66,6345.00,6360.16
Georgia,4298.04,4492.17,4584.27,4790.27,4831.36,5549.91,6428.01,7709.28,7853.26,7992.39,8063.01,8446.96
Hawaii,4266.54,4263.77,4957.20,5748.09,6317.77,7356.29,8164.18,8839.58,8972.03,9269.59,9712.78,10174.73
Idaho,4524.85,4790.18,4873.94,5020.56,5003.87,5414.71,5834.69,6002.21,6238.65,6462.26,6609.71,6818.47
Illinois,8182.78,8444.49,9449.99,10424.93,10872.47,11536.46,12007.63,12285.42,12675.21,12852.83,12812.55,13189.10
Indiana,7367.53,7517.48,7687.36,7876.84,7835.64,8470.04,8744.37,8813.18,9078.28,9118.78,9048.66,9119.65
Iowa,6813.11,6862.83,6919.21,7124.10,6979.60,7438.30,7832.49,7988.16,8157.43,8007.19,7868.43,7877.34
Kansas,5345.14,5739.18,6113.53,6583.32,6520.66,6995.02,7254.50,7309.98,7583.46,7896.35,8270.39,8530.49
Kentucky,5640.00,6142.23,6759.71,7193.99,7387.55,7886.02,8230.96,8423.38,8814.73,8888.90,9223.34,9566.67
Louisiana,4453.03,4512.93,4421.26,4388.12,4419.08,4745.35,5181.16,5541.64,6119.89,6748.43,7336.70,7870.96
Maine,7057.56,7407.56,7758.89,8402.73,8764.38,9468.54,9791.98,9893.83,9753.29,9594.34,9560.24,9572.97
Maryland,8530.56,8716.86,8462.54,8379.81,8020.09,8284.97,8469.60,8409.65,8552.23,8663.29,8696.81,9163.29
Massachusetts,8863.21,8958.69,8892.94,9036.31,8939.06,10238.75,10386.40,10737.86,11092.89,10980.56,10986.92,11588.13
Michigan,7930.77,8668.00,8998.49,9737.50,9905.76,10817.23,11094.66,11451.95,11659.57,11851.17,11618.21,11990.53
Minnesota,8143.72,8481.13,8816.71,8934.34,9023.68,9738.94,10275.84,10582.57,10792.89,10690.91,10582.09,10831.36
Mississippi,5028.87,5110.18,5218.72,5450.20,5367.34,5487.85,5795.28,5992.71,6415.73,6707.11,6870.36,7147.27
Missouri,7477.15,7659.16,7653.35,7842.47,7842.15,7995.73,7959.48,8118.09,8276.18,8268.24,8409.02,8564.11
Montana,5629.92,6006.65,6166.30,6074.62,5789.39,6078.53,6143.39,6212.43,6411.57,6360.15,6301.41,6351.08
Nebraska,5947.45,6475.66,6132.29,6394.28,6462.07,6908.58,7224.94,7295.19,7483.46,7473.39,7347.86,7607.97
Nevada,3621.39,3687.29,4274.66,4523.31,4770.61,5034.60,5821.55,6383.56,6656.36,6525.30,6437.63,6667.24
New Hampshire,10187.53,10484.17,10703.66,11111.22,11167.58,12273.42,13077.14,14262.92,15224.21,14968.85,14755.91,15159.90
New Jersey,10053.96,10504.93,10942.90,11427.44,11661.24,12337.70,12752.02,12707.96,12934.59,12998.21,13027.17,13303.42
New Mexico,4925.55,5187.12,4756.66,4867.03,4904.06,5303.89,5613.56,5741.29,5914.68,6089.42,6165.58,6354.52
New York,6234.74,6114.13,5911.82,5815.69,5556.12,6361.12,6341.53,6553.63,6835.53,7076.29,7305.82,7643.53
North Carolina,4493.35,4464.08,4769.56,4933.48,4764.10,5030.16,5827.02,6009.61,6459.48,6657.23,6684.52,6973.07
North Dakota,5803.80,6197.19,6464.18,6648.63,6625.90,7020.51,7191.00,7247.66,7298.04,7431.15,7526.61,7687.70
Ohio,10377.93,10186.41,9903.03,9695.10,9194.02,9425.32,9913.49,9980.45,10175.17,10156.82,10103.81,10195.90
Oklahoma,4454.29,4638.73,5197.61,5720.59,6120.31,6007.60,6294.46,6413.14,6669.90,6725.54,7093.64,7449.70
Oregon,6578.74,6631.99,6539.24,6812.47,6769.12,7653.29,8137.91,8444.51,8658.48,8786.49,8949.34,9371.35
Pennsylvania,10394.18,10556.23,10614.53,11218.91,11232.68,11928.77,12403.91,12766.06,12892.92,13079.20,13157.06,13394.78
Rhode Island,7475.89,7864.35,7959.43,8273.26,8383.55,9423.10,10201.40,10578.35,11376.23,11131.52,10977.29,11390.12
South Carolina,8330.21,9019.75,9279.95,9590.84,9907.93,10550.15,11015.84,10939.62,11191.85,11407.37,11469.81,11816.03
South Dakota,5478.71,5609.71,5827.38,6121.60,6182.15,6683.61,6916.24,7175.82,7695.96,7809.31,7713.29,8054.91
Tennessee,5425.79,5817.34,5832.07,6146.80,6169.13,6757.86,7139.55,7574.07,7995.97,8210.00,8940.60,9263.48
Texas,6394.77,6577.03,7018.89,7389.91,7506.90,8120.96,8477.26,8506.83,8691.81,8705.02,8852.04,9116.73
Utah,4125.41,4376.14,4475.20,4650.49,4638.24,5067.84,5381.49,5598.69,5845.93,6041.94,6171.26,6362.68
Vermont,11067.04,11295.15,11472.98,12012.90,12304.63,13316.24,13655.14,13832.98,14088.78,14266.89,14501.02,14993.03
Virginia,7029.83,7356.26,7688.53,8029.22,8225.15,8794.75,9643.11,10072.35,10313.71,10590.45,11202.40,11818.69
Washington,6191.90,6414.59,6649.48,6858.29,6979.60,8113.20,8973.16,10029.04,11036.64,11045.09,10703.37,10288.35
West Virginia,4575.25,4727.89,4885.66,5048.05,5106.95,5518.88,5720.84,5847.99,6130.31,6388.32,6697.96,7171.45
Wisconsin,6574.96,6871.38,7085.74,7347.52,7373.45,7944.75,8441.14,8658.95,9052.24,8930.73,8785.10,8815.26
Wyoming,4086.35,4188.05,4122.21,4071.90,3928.67,4129.19,4298.84,4357.47,4456.32,4499.36,4653.88,4891.00